algorithm,seed,step,return,return_std
none,0,10000,-210.65397865926033,49.45298068201168
none,0,20000,-272.5513812940304,27.890434245079838
none,0,30000,-624.5457987945927,56.38556006180375
none,0,40000,-593.7860357828674,71.53075752537634
none,0,50000,-210.52173917576656,23.11632930389792
none,0,60000,-106.45565899441078,19.809355402491786
none,0,70000,-275.2720332966813,27.425498832157388
none,0,80000,-290.0583957215169,27.8632547379251
none,0,90000,-189.76057509983605,16.932612444092477
none,0,100000,-89.10774214916425,20.614907817420583
none,0,110000,-201.39922882921638,26.44809946850683
none,0,120000,-203.75880978773594,23.396097861750388
none,0,130000,-100.61372949661302,25.05405524286542
none,0,140000,-112.65963166056149,21.523358664328352
none,0,150000,-140.32909603396894,19.363613821288833
none,0,160000,-85.22685273564542,20.9333465155398
none,0,170000,-77.27342622781131,18.241836063807117
none,0,180000,-114.18866204663557,13.743330152858956
none,0,190000,-88.89955374465193,25.787915687126354
none,0,200000,-59.55869551099569,23.20364237387875
none,0,210000,-55.56750343536695,25.288206469346388
none,0,220000,-57.49057639425719,24.20123086015291
none,0,230000,-42.837365669943054,14.928174938329855
none,0,240000,-56.82613730919634,15.523569427405498
none,0,250000,-43.21662118978374,14.928375732687131
none,0,260000,-25.20896689242843,17.004416061789104
none,0,270000,-72.03478508423828,20.89259538080921
none,0,280000,-80.80721527972108,18.121868543602076
none,0,290000,-107.97509000594857,24.197653519747583
none,0,300000,-96.41653784605654,22.287011750160215
none,0,310000,-94.93024005467278,17.576338663589034
none,0,320000,-49.73039378775518,14.890522402548799
none,0,330000,-9.240688946166795,24.946955713411157
none,0,340000,-20.240362500473697,13.340256531001923
none,0,350000,-1.2061769635541455,23.640835231914526
none,0,360000,-64.86423764724877,21.98970016143945
none,0,370000,-70.9541680736141,22.342556123109492
none,0,380000,-89.90375730187874,53.42163679697536
none,0,390000,-70.68688132005818,22.87157085535699
none,0,400000,-59.338776551149536,50.94655856606067
none,0,410000,-61.01774311603127,40.21627393686505
none,0,420000,-87.72012345125121,19.67098666252588
none,0,430000,-151.92162857931905,17.04882447822896
none,0,440000,-62.74374297026492,15.727659278366927
none,0,450000,-41.79336224060037,37.90651069542026
none,0,460000,-46.04014405080051,76.28973925533539
none,0,470000,-66.51504386759724,19.739383686930235
none,0,480000,-45.57544549268562,14.963766061333374
none,0,490000,-44.76549017273927,24.50771702168104
none,0,500000,-47.12743391654239,17.667358800237057
none,0,510000,-37.46616443051313,23.545149083365796
none,0,520000,39.32764313645503,72.53317368745071
none,0,530000,125.59999721287932,77.22766667956424
none,0,540000,143.84819958203883,61.200939755380666
none,0,550000,163.44511331328752,51.93047264489694
none,0,560000,92.63734170109277,76.16555068408154
none,0,570000,-28.617278156845355,102.1803751514322
none,0,580000,-43.856548350015736,22.710186657132226
none,0,590000,-37.10408017684748,24.39649697491539
none,0,600000,-10.943458774087414,24.357927601219185
none,0,610000,163.70190214490017,58.224124594788414
none,0,620000,106.32515248903573,76.58877358406832
none,0,630000,118.50262227137219,97.13772048978065
none,0,640000,42.18621488569603,82.11838652329254
none,0,650000,70.07695885266472,65.59774187256073
none,0,660000,99.12741874741104,101.87048146767917
